text,category
"unti unti lumulubog barangay namin, di na biro","Sea Level Rise / Coastal Hazards"
"nag evacuate school kids kasi mataas tubig dagat","Sea Level Rise / Coastal Hazards"
"nagiba yung tindahan namin sa shore dahil erosion","Sea Level Rise / Coastal Hazards"
"grabe baha sa tabing dagat kahit walang bagyo","Sea Level Rise / Coastal Hazards"
"nakaka depress kasi nawawala na beach memories namin 😭","Sea Level Rise / Coastal Hazards"
"nag crack yung daan sa shore, lumusong dagat","Sea Level Rise / Coastal Hazards"
"pinasok na ng dagat yung barangay hall, nakakaloka","Sea Level Rise / Coastal Hazards"
"puro tubig na yung dating playground sa tabing dagat","Sea Level Rise / Coastal Hazards"


"init overload na naman today, parang oven MRT 😭","Extreme Heat / Heatwaves"
"ang hirap matulog grabe init kahit may electric fan 😩","Extreme Heat / Heatwaves"
"literal nagluto itlog sa bubong kanina, ganyan kainit 😭","Extreme Heat / Heatwaves"
"pawis to the max kahit wala namang ginagawa","Extreme Heat / Heatwaves"
"aircon buong araw pero parang di effective 😩","Extreme Heat / Heatwaves"
"nagmelt lipstick ko sa bag, sobrang init amp 😭","Extreme Heat / Heatwaves"
"init na parang Mayon Volcano vibes 🥵","Extreme Heat / Heatwaves"
"kahit sa jeep, parang sauna talaga","Extreme Heat / Heatwaves"
"nagka-rash ako sa init, ewan ko na","Extreme Heat / Heatwaves"
"init overload, prito na ata utak ko 😭","Extreme Heat / Heatwaves"
"pinawisan kahit nasa mall na may aircon 🥲","Extreme Heat / Heatwaves"
"grabe init sa kalsada, parang naglalakad sa apoy","Extreme Heat / Heatwaves"
"init overload kanina sa klase, walang focus","Extreme Heat / Heatwaves"
"literal parang furnace bahay namin","Extreme Heat / Heatwaves"
"init nanaman jusko parang desert","Extreme Heat / Heatwaves"
"naligo na pero pawis ulit agad after 5 mins","Extreme Heat / Heatwaves"
"wala nang effect iced coffee, ang init pa rin","Extreme Heat / Heatwaves"
"nakaka ubos tubig kasi sobrang init 🥵","Extreme Heat / Heatwaves"
"pinatay na electric fan kasi puro hot air din","Extreme Heat / Heatwaves"
"init sobra, kahit aso namin ayaw gumalaw 😭","Extreme Heat / Heatwaves"
"nagbrownout pa kanina, lutong luto na kami","Extreme Heat / Heatwaves"
"init overload, halos di na makahinga","Extreme Heat / Heatwaves"
"nagluto ulam, pero ako rin naluto 🥵","Extreme Heat / Heatwaves"
"kahit gabi pawis pa rin buong katawan","Extreme Heat / Heatwaves"
"aircon 16 degrees pero feeling 30 pa rin","Extreme Heat / Heatwaves"
"nagcrave ice cream pero natunaw agad","Extreme Heat / Heatwaves"
"init grabe, parang sunog balat ko","Extreme Heat / Heatwaves"
"di makalabas bahay, parang sun exposure = death","Extreme Heat / Heatwaves"
"kahit tubig sa gripo parang sabaw ng nilaga","Extreme Heat / Heatwaves"
"nagka-sunstroke pinsan ko kanina","Extreme Heat / Heatwaves"
"init as in walang hininga, parang vacuum 🥵","Extreme Heat / Heatwaves"
"pawis kahit nakaupo lang sa upuan","Extreme Heat / Heatwaves"
"nagsauna kami nang libre sa jeep kanina 😭","Extreme Heat / Heatwaves"
"init parang end of the world vibes","Extreme Heat / Heatwaves"
"nag alarm yung phone ko kasi sobrang init","Extreme Heat / Heatwaves"
"literal di gumagana electric fan, hot wind lang","Extreme Heat / Heatwaves"
"nag meltdown na laptop ko kanina 😩","Extreme Heat / Heatwaves"
"nag sunburn kahit 10 mins lang sa labas","Extreme Heat / Heatwaves"
"init parang nakakabaliw na, lorddddd","Extreme Heat / Heatwaves"
"sobrang init pati softdrinks naging tsaa na","Extreme Heat / Heatwaves"
"init overload, nahilo na ako","Extreme Heat / Heatwaves"
"nagpadyak lang konti tapos naligo pawis agad","Extreme Heat / Heatwaves"
"kahit ulan hindi ramdam kasi ang init pa rin","Extreme Heat / Heatwaves"
"nag evaporate tubig sa baso ko literal 😭","Extreme Heat / Heatwaves"
"init sobra pati aso naghahanap aircon","Extreme Heat / Heatwaves"
"parang naglalakad ako sa ibabaw ng kawali","Extreme Heat / Heatwaves"
"init parang di na normal 🥵","Extreme Heat / Heatwaves"
"nag defrost yung freezer namin kasi sobrang init","Extreme Heat / Heatwaves"
"pawis lahat ng tao sa jeep, instant sauna","Extreme Heat / Heatwaves"
"init na parang tatapon na ako sa ref","Extreme Heat / Heatwaves"


"bigla nalang lumamig kagabi, kala ko December na 🥶","Cold Weather / Temperature Drops"
"nagjacket ako kahit tanghaling tapat, sobrang lamig","Cold Weather / Temperature Drops"
"lamig sobra, parang Baguio kahit nasa Manila lang","Cold Weather / Temperature Drops"
"nakakagulat yung chill kanina, hindi naman dapat malamig ngayon","Cold Weather / Temperature Drops"
"nagka-sipon mga bata kasi lamig biglaan","Cold Weather / Temperature Drops"
"sobrang lamig kanina parang aircon buong barangay","Cold Weather / Temperature Drops"
"hindi ko gets bakit parang winter ngayon 😭","Cold Weather / Temperature Drops"
"nag electric fan ako out of habit pero lamig sobra pala","Cold Weather / Temperature Drops"
"lamig to the max, di ko na kaya walang kumot","Cold Weather / Temperature Drops"
"di normal yung lamig ngayon, parang nag iba klima","Cold Weather / Temperature Drops"
"nagfog yung salamin sa lamig kanina","Cold Weather / Temperature Drops"
"lamig parang nasa freezer, grabe talaga","Cold Weather / Temperature Drops"
"nakajacket ako buong araw kahit usually init 🥶","Cold Weather / Temperature Drops"
"nag ice cold hangin kahit wala namang ulan","Cold Weather / Temperature Drops"
"nagka-flu ako dahil lamig biglaan","Cold Weather / Temperature Drops"
"lamig sobra pati aso nanginginig","Cold Weather / Temperature Drops"
"hindi ko ma-imagine summer daw pero malamig ganito","Cold Weather / Temperature Drops"
"nag brownout pero okay lang kasi lamig naman","Cold Weather / Temperature Drops"
"lamig parang gusto ko na magpasko 🎄","Cold Weather / Temperature Drops"
"nag paltos kamay ko sa sobrang lamig","Cold Weather / Temperature Drops"
"lamig sobra, nagkaproblema pa kuryente heater","Cold Weather / Temperature Drops"
"parang may cold front talaga, unusual season","Cold Weather / Temperature Drops"
"sobrang lamig sa loob ng jeep parang ref","Cold Weather / Temperature Drops"
"nagkulob kami lahat sa kumot kanina","Cold Weather / Temperature Drops"
"lamig parang di na tropics Pilipinas 😭","Cold Weather / Temperature Drops"
"nag foggy windows sa bahay, kala ko abroad","Cold Weather / Temperature Drops"
"lamig kahit tanghaling tapat weird","Cold Weather / Temperature Drops"
"parang umabot zero degrees vibes 🥶","Cold Weather / Temperature Drops"
"nagjacket yung kapitbahay ko kahit usually sando lang","Cold Weather / Temperature Drops"
"lamig bigla kahit walang ulan or hangin","Cold Weather / Temperature Drops"
"nagkaroon ng frost vibes sa damo kanina","Cold Weather / Temperature Drops"
"lamig parang iced coffee buong paligid","Cold Weather / Temperature Drops"
"di makalabas kasi lamig sobra","Cold Weather / Temperature Drops"
"naglong sleeves ako kahit nasa bahay lang","Cold Weather / Temperature Drops"
"lamig parang movie scene abroad","Cold Weather / Temperature Drops"
"grabe nagshiver ako sa lamig","Cold Weather / Temperature Drops"
"pati pusa namin naghanap kumot","Cold Weather / Temperature Drops"
"nagpabukas kami uling kasi lamig sobra","Cold Weather / Temperature Drops"
"lamig na parang may snow vibes 🥶","Cold Weather / Temperature Drops"
"nag fog sa kalsada, di na makita daan","Cold Weather / Temperature Drops"
"naglamig ulo ko sa hangin kanina","Cold Weather / Temperature Drops"
"lamig kahit nag electric fan, pinatay ko na","Cold Weather / Temperature Drops"
"nag nose drip ako dahil lamig","Cold Weather / Temperature Drops"
"lamig sobrang lala, di makatulog","Cold Weather / Temperature Drops"
"nagkakape ako tatlong beses para lang lumaban sa lamig","Cold Weather / Temperature Drops"
"lamig na parang nasa freezer, legit","Cold Weather / Temperature Drops"
"nagbaon na kami kumot sa classroom kanina","Cold Weather / Temperature Drops"
"lamig parang nasa Japan vibes","Cold Weather / Temperature Drops"
"nagblue lips ako dahil sobrang lamig","Cold Weather / Temperature Drops"


"grabe ulan nonstop buong araw, baha na agad 😭","Flooding and Extreme Precipitation"
"walang pasok kasi knee-deep na tubig sa school","Flooding and Extreme Precipitation"
"kahit ambon lang, instant baha na sa kalsada","Flooding and Extreme Precipitation"
"trapik solid sa EDSA kasi binaha lahat","Flooding and Extreme Precipitation"
"nag overrun na kanal, baha na buong barangay","Flooding and Extreme Precipitation"
"literal swimming pool na kalsada namin","Flooding and Extreme Precipitation"
"grabe ulan parang waterfall vibes 🥲","Flooding and Extreme Precipitation"
"nasa jeep kami pero feeling bangka 😭","Flooding and Extreme Precipitation"
"sobrang bilis umakyat tubig kahit konting ulan lang","Flooding and Extreme Precipitation"
"basang basa lahat ng gamit kasi tumagos bubong","Flooding and Extreme Precipitation"
"baha sa sala namin, nakalutang na tsinelas","Flooding and Extreme Precipitation"
"nagkaron ng mini river sa loob ng subdivision","Flooding and Extreme Precipitation"
"kahit may payong, useless sa lakas ng ulan","Flooding and Extreme Precipitation"
"umulan ng todo tapos biglang brownout","Flooding and Extreme Precipitation"
"nalubog kotse ng kapitbahay sa baha 😩","Flooding and Extreme Precipitation"
"akala mo swimming pool terminal kanina","Flooding and Extreme Precipitation"
"nag overtop drainage, parang dagat na kalsada","Flooding and Extreme Precipitation"
"ulan ng ulan wala nang tigil 😭","Flooding and Extreme Precipitation"
"baha hanggang tuhod kahit kakauwi lang","Flooding and Extreme Precipitation"
"pumasok tubig sa jeep, basang basa sapatos","Flooding and Extreme Precipitation"
"may mga isda na lumalangoy sa baha lol","Flooding and Extreme Precipitation"
"cancel gala kasi ulan hindi tumitigil","Flooding and Extreme Precipitation"
"nagpapayong pero tinangay pa rin ng hangin ulan","Flooding and Extreme Precipitation"
"lumubog na mga stalls sa palengke","Flooding and Extreme Precipitation"
"nagka landslide sa bundok dahil sa sobrang ulan","Flooding and Extreme Precipitation"
"sobrang lakas ulan, hindi kita kalsada","Flooding and Extreme Precipitation"
"nag overflow ilog, lumubog buong sitio","Flooding and Extreme Precipitation"
"binaha eskinita namin, walang makadaan","Flooding and Extreme Precipitation"
"di na gumagana weather app, iba ulan","Flooding and Extreme Precipitation"
"nasira bubong dahil sa bagsak ulan","Flooding and Extreme Precipitation"
"walang tigil ulan buong gabi, hindi makatulog","Flooding and Extreme Precipitation"
"umulan nang todo sa birthday ko, malas","Flooding and Extreme Precipitation"
"nalubog tricycle sa baha kanina","Flooding and Extreme Precipitation"
"naglaho lahat ng kalsada, puro tubig","Flooding and Extreme Precipitation"
"may mga batang nagsswimming sa baha, hala","Flooding and Extreme Precipitation"
"ang dami stranded kasi binaha terminal","Flooding and Extreme Precipitation"
"umabot tubig hanggang hagdan namin","Flooding and Extreme Precipitation"
"nag float na mga basura sa paligid","Flooding and Extreme Precipitation"
"sobrang ulan parang end of the world vibes 😭","Flooding and Extreme Precipitation"
"nalubog mga motor, sayang talaga","Flooding and Extreme Precipitation"
"pumalya drainage system, baha agad","Flooding and Extreme Precipitation"
"nag slide sapatos ko sa putik baha","Flooding and Extreme Precipitation"
"nalubog laptop ko kasi pumasok tubig","Flooding and Extreme Precipitation"
"di ko na makita kalsada sa lakas ulan","Flooding and Extreme Precipitation"
"umulan ng malakas tapos init ulit, labo","Flooding and Extreme Precipitation"
"nag overflow creek, pati eskinita lumubog","Flooding and Extreme Precipitation"
"nakakatakot lakas ulan parang bagyo","Flooding and Extreme Precipitation"
"nagkasakit ako dahil laging basa sa ulan","Flooding and Extreme Precipitation"
"nalubog jeep terminal, stranded lahat","Flooding and Extreme Precipitation"
"nag boat na kapitbahay gamit styro kasi baha","Flooding and Extreme Precipitation"
"nagtapon tubig sa balde pero bumalik rin agad, grabe baha","Flooding and Extreme Precipitation"


"hangin kagabi parang gusto na kami liparin 😭","Storms, Typhoons, and Wind Events"
"signal #3 daw, legit natanggal bubong namin","Storms, Typhoons, and Wind Events"
"nag brownout agad kahit mahina pa ulan","Storms, Typhoons, and Wind Events"
"grabe bagyo, nagliparan mga yero sa paligid","Storms, Typhoons, and Wind Events"
"parang end of the world vibes, ulan at hangin sabay 😩","Storms, Typhoons, and Wind Events"
"ang ingay ng hangin kanina, di makatulog","Storms, Typhoons, and Wind Events"
"nasira poste ng kuryente sa bagyo","Storms, Typhoons, and Wind Events"
"binaha at binayo pa ng hangin, complete package","Storms, Typhoons, and Wind Events"
"nawalan kuryente 2 days na dahil bagyo 😭","Storms, Typhoons, and Wind Events"
"pati pader ng kapitbahay bumigay sa lakas ng bagyo","Storms, Typhoons, and Wind Events"
"literal gumalaw bahay sa lakas ng hangin","Storms, Typhoons, and Wind Events"
"sobrang dilim kahit tanghali, bagyo mode","Storms, Typhoons, and Wind Events"
"nag evacuate kami kasi landslide prone area tuwing bagyo","Storms, Typhoons, and Wind Events"
"wala nang signal cellphone kasi tinamaan tower","Storms, Typhoons, and Wind Events"
"nakakatakot tunog ng hangin, parang whistle nonstop","Storms, Typhoons, and Wind Events"
"pumapasok ulan kahit sarado bintana","Storms, Typhoons, and Wind Events"
"nag fly na tent sa kalsada kanina, lakas hangin","Storms, Typhoons, and Wind Events"
"binagsak puno sa gitna ng highway, sobrang trapik","Storms, Typhoons, and Wind Events"
"wala nang bubong eskwelahan dahil sa bagyo 😭","Storms, Typhoons, and Wind Events"
"parang lumilipad jeep sa hangin, grabe","Storms, Typhoons, and Wind Events"
"nag flash flood kasabay malakas hangin","Storms, Typhoons, and Wind Events"
"ang lakas ulan tapos biglang ulan with hangin 💨","Storms, Typhoons, and Wind Events"
"di makalabas bahay, parang delikado liparin","Storms, Typhoons, and Wind Events"
"baha plus blackout equals hirap buhay","Storms, Typhoons, and Wind Events"
"parang may humahampas na giant fan sa labas","Storms, Typhoons, and Wind Events"
"umulan, umaraw, tapos hangin bigla sobrang labo","Storms, Typhoons, and Wind Events"
"yero namin nag landing sa kapitbahay 😭","Storms, Typhoons, and Wind Events"
"wala nang daan kasi natabunan puno at poste","Storms, Typhoons, and Wind Events"
"signal #2 pero pakiramdam signal #5 na","Storms, Typhoons, and Wind Events"
"grabe damage ng bagyo, wasak mga tindahan","Storms, Typhoons, and Wind Events"
"takot kami kasi lumalakas hangin habang gabi","Storms, Typhoons, and Wind Events"
"parang airplane sound hangin, grabe takot","Storms, Typhoons, and Wind Events"
"pinasok ulan yung bubong, tumutulo lahat","Storms, Typhoons, and Wind Events"
"lahat nag charge powerbank bago bagyo dumating","Storms, Typhoons, and Wind Events"
"biglang dumilim parang apocalypse vibes","Storms, Typhoons, and Wind Events"
"nawala signal ng TV, radio lang buhay","Storms, Typhoons, and Wind Events"
"windstorm talaga, kahit poste di kinaya","Storms, Typhoons, and Wind Events"
"natanggal bubong gymnasium sa lakas hangin","Storms, Typhoons, and Wind Events"
"sobrang lakas hangin parang sasabog bintana","Storms, Typhoons, and Wind Events"
"di makalabas kasi tinatangay na mga gamit","Storms, Typhoons, and Wind Events"
"hangin malakas, ulan sideways na literal","Storms, Typhoons, and Wind Events"
"nagpalipad bubong kahit wala namang kite","Storms, Typhoons, and Wind Events"
"nawasak palengke dahil sa bagyo","Storms, Typhoons, and Wind Events"
"nalipad trapal namin, wala na panangga","Storms, Typhoons, and Wind Events"
"nag sprint ako pauwi bago lumipad payong","Storms, Typhoons, and Wind Events"
"grabe ulan tapos kumakalog na bintana","Storms, Typhoons, and Wind Events"
"sumisigaw hangin parang may multo","Storms, Typhoons, and Wind Events"
"nagdasal kami buong gabi kasi sobrang lakas bagyo","Storms, Typhoons, and Wind Events"
"parang nilipad tricycle sa lakas ng hangin 😭","Storms, Typhoons, and Wind Events"


"tuyong tuyo palayan namin, wala nang ani 😭","Drought and Water Scarcity"
"ilang linggo na walang ulan, crack na lupa","Drought and Water Scarcity"
"nag rasyon ng tubig barangay namin, pila kami sa poso","Drought and Water Scarcity"
"pati balon namin natuyo na 😩","Drought and Water Scarcity"
"wala nang laman dam, di na makakuryente","Drought and Water Scarcity"
"nasunog pananim sa init, walang patubig","Drought and Water Scarcity"
"nagbitak bitak na lupa sa farm","Drought and Water Scarcity"
"naghihintay truck ng tubig araw araw","Drought and Water Scarcity"
"nag water interruption 3 days na, wala pang balik","Drought and Water Scarcity"
"nagbawas gamit tubig, kahit ligo tipid na","Drought and Water Scarcity"
"pati ilog tuyo na, wala nang isda","Drought and Water Scarcity"
"hirap na mga magsasaka kasi walang ulan","Drought and Water Scarcity"
"nangamatay mga hayop sa farm walang tubig","Drought and Water Scarcity"
"nagpapila tubig sa barangay hall araw araw","Drought and Water Scarcity"
"nasira maisan namin sa tagtuyot","Drought and Water Scarcity"
"gripo wala nang tulo kahit drop","Drought and Water Scarcity"
"init sobra tapos wala pang tubig 😭","Drought and Water Scarcity"
"nagreklamo na lahat sa Maynilad, tubig wala pa rin","Drought and Water Scarcity"
"pati damuhan naging brown, tuyo lahat","Drought and Water Scarcity"
"nagtitipid hugas plato, konting tubig lang","Drought and Water Scarcity"
"nag rerelyebo tubig sa truck, hassle sobra","Drought and Water Scarcity"
"ang hirap maligo kasi rasyon lang tubig","Drought and Water Scarcity"
"na cancel pagtatanim kasi walang patubig","Drought and Water Scarcity"
"tuyong tuyo ilog, parang kalsada na lang","Drought and Water Scarcity"
"nakakatakot kasi wala nang source tubig","Drought and Water Scarcity"
"nagcrack semento dahil sobrang init at tagtuyot","Drought and Water Scarcity"
"nawalan ng tubig buong subdivision","Drought and Water Scarcity"
"pati pananim ng gulay patay lahat","Drought and Water Scarcity"
"3 araw di naligo kasi walang tubig 😭","Drought and Water Scarcity"
"naglakad malayo para lang makakuha tubig","Drought and Water Scarcity"
"sobrang init pero walang supply tubig","Drought and Water Scarcity"
"parang disyerto farm namin, wala nang green","Drought and Water Scarcity"
"nag away kapitbahay dahil sa pila ng tubig","Drought and Water Scarcity"
"gripo namin hangin na lang lumalabas","Drought and Water Scarcity"
"nagpakulo tubig ulan kasi wala nang iba","Drought and Water Scarcity"
"nawalan tubig ospital, hassle sa pasyente","Drought and Water Scarcity"
"pati dam reservoir dry na, kita bato","Drought and Water Scarcity"
"nagpapasan galon araw araw sa pila","Drought and Water Scarcity"
"init sobra tapos dry spell pa, double kill","Drought and Water Scarcity"
"tuyong tuyo palayan parang desert vibes","Drought and Water Scarcity"
"nag crack lupa sa bakuran namin","Drought and Water Scarcity"
"nag relocate mga tao kasi walang tubig","Drought and Water Scarcity"
"wala nang tubig sa school, nag uwian mga bata","Drought and Water Scarcity"
"nahimatay kapitbahay kasi walang tubig inumin","Drought and Water Scarcity"
"nasira lahat ng tanim kasi walang ulan 2 months","Drought and Water Scarcity"
"nagkakagulo sa pila ng poso 😩","Drought and Water Scarcity"
"umalis na ibang farmer kasi di na kaya drought","Drought and Water Scarcity"
"tuyong tuyo dami na cracks lupa","Drought and Water Scarcity"
"wala na tubig panghugas pinggan, tissue na lang","Drought and Water Scarcity"
"nag import na raw bigas kasi nasira ani drought","Drought and Water Scarcity"


"usok ng jeep kanina literal nasa mukha ko 😩","Air Pollution and Emissions"
"smog buong araw, di makita building sa kanto","Air Pollution and Emissions"
"nag ubo ako kasi ang daming alikabok sa kalsada","Air Pollution and Emissions"
"amoy tambutso parang nag barbecue ng usok","Air Pollution and Emissions"
"itim na usok galing pabrika, nakakairita","Air Pollution and Emissions"
"hirap huminga kanina sa EDSA grabe pollution","Air Pollution and Emissions"
"ang kapal ng usok parang fog pero lason","Air Pollution and Emissions"
"pati bata inuubo dahil sa maruming hangin","Air Pollution and Emissions"
"nag mask ulit kasi parang covid level usok","Air Pollution and Emissions"
"sobrang init tapos dagdag pa pollution, patay","Air Pollution and Emissions"
"nakita ko factory naglalabas ng makapal na usok","Air Pollution and Emissions"
"amoy plastic sunog buong barangay","Air Pollution and Emissions"
"nag allergy ako kasi sa alikabok","Air Pollution and Emissions"
"ang kapal ng haze parang wala nang araw","Air Pollution and Emissions"
"grabe amoy kemikal sa paligid","Air Pollution and Emissions"
"itim yung sipon ko dahil sa usok 😭","Air Pollution and Emissions"
"nakakairita yung bus na nagbuga ng usok sa harap ko","Air Pollution and Emissions"
"nakakahilo sa kalsada puro tambutso","Air Pollution and Emissions"
"amoy basura sinusunog, ang sakit sa ilong","Air Pollution and Emissions"
"ang polusyon grabe na, parang di na safe lumabas","Air Pollution and Emissions"
"nag nosebleed dahil sa alikabok 😭","Air Pollution and Emissions"
"usok sa Tondo grabe, parang apocalyptic vibes","Air Pollution and Emissions"
"di makita bundok dahil sa smog","Air Pollution and Emissions"
"ang sakit sa lalamunan grabe polusyon","Air Pollution and Emissions"
"nag yellow yung langit kasi sa pollution","Air Pollution and Emissions"
"parang China level haze na dito","Air Pollution and Emissions"
"nagkaproblema asma ko dahil sa usok","Air Pollution and Emissions"
"grabe ang trapik pati usok doble","Air Pollution and Emissions"
"pati aircon humihigop polusyon","Air Pollution and Emissions"
"nag spray ako perfume para matabunan usok lol","Air Pollution and Emissions"
"ang dami nag susunog ng basura, hassle","Air Pollution and Emissions"
"nag ingay yung tricycle pero mas grabe usok nya","Air Pollution and Emissions"
"hirap matulog kasi amoy sunog sa labas","Air Pollution and Emissions"
"usok sa palengke parang nagluluto lahat sabay","Air Pollution and Emissions"
"nag brown yung alikabok sa bintana","Air Pollution and Emissions"
"ang kapal ng alikabok sa mesa namin grabe","Air Pollution and Emissions"
"nagka rashes ako dahil sa hangin marumi","Air Pollution and Emissions"
"amoy tambutso hanggang loob ng bahay","Air Pollution and Emissions"
"ang sakit sa mata kasi sa smog","Air Pollution and Emissions"
"ang dumi ng hangin parang nakakalasong usok","Air Pollution and Emissions"
"nag fogging daw pero mas dumami usok","Air Pollution and Emissions"
"pati ulan may kasamang abo","Air Pollution and Emissions"
"sobrang baho ng paligid kasi sa factory","Air Pollution and Emissions"
"nag black yung tissue ko sa sipon 😭","Air Pollution and Emissions"
"nakakainis kasi walang nag check ng emission","Air Pollution and Emissions"
"di ko makita jeep kasi sa kapal ng usok","Air Pollution and Emissions"
"parang mausok na barbeque stand buong siyudad","Air Pollution and Emissions"
"naglabas tambutso tricycle diretso sa mukha ko","Air Pollution and Emissions"
"parang asidik na hangin amoy kemikal","Air Pollution and Emissions"
"nag init ulo ko kasi ang baho ng usok","Air Pollution and Emissions"


"sayang yung puno pinutol sa tapat ng bahay namin 😢","Environmental Degradation and Land Use"
"naging subdivision na yung palayan dati, wala na kaming taniman","Environmental Degradation and Land Use"
"nakakalungkot kasi wala nang ibon dito dahil putol na yung mga puno","Environmental Degradation and Land Use"
"dating gubat, ngayon parking lot na lang 😭","Environmental Degradation and Land Use"
"puno ng basura yung ilog, parang kanal na lang","Environmental Degradation and Land Use"
"wala nang shade kasi pinutol lahat ng kahoy sa plaza","Environmental Degradation and Land Use"
"ginawang mall yung dating bukirin, saan na ang mga magsasaka","Environmental Degradation and Land Use"
"grabe deforestation dito, bundok kalbo na","Environmental Degradation and Land Use"
"nag landslide kasi putol na yung mga puno 😡","Environmental Degradation and Land Use"
"nakita ko tambak na basura sa dagat, nakakadiri","Environmental Degradation and Land Use"
"bakit laging development over nature 😩","Environmental Degradation and Land Use"
"nawalan ng tirahan mga ibon kasi pinutol mangrove","Environmental Degradation and Land Use"
"sobrang dumi ng estero, wala na halos isda","Environmental Degradation and Land Use"
"may nagsunog ng gubat para gawing pasture, grabe","Environmental Degradation and Land Use"
"nagbaha kasi walang puno, puro semento na lang","Environmental Degradation and Land Use"
"ang init kasi wala nang puno sa paligid","Environmental Degradation and Land Use"
"sobrang dami basura sa bundok, parang basurahan na lang","Environmental Degradation and Land Use"
"pinatag yung burol para gawing resort 😡","Environmental Degradation and Land Use"
"puno ng plastic yung dagat, kawawa pawikan","Environmental Degradation and Land Use"
"nawala yung park, ginawang condo","Environmental Degradation and Land Use"
"naging semento lahat, wala nang green space","Environmental Degradation and Land Use"
"nawalan ng puno kaya ang bilis mag init","Environmental Degradation and Land Use"
"ginawang kalsada yung bukirin namin","Environmental Degradation and Land Use"
