user_location,text,label
"Baltimore, MD","Wala nang binabantayan na bagyo o low pressure area (LPA) ang #PAGASA sa loob at labas ng Philippine area of responsibility (PAR). Gayunpaman, makararanas pa rin ng mga pag-ulan sa Mindanao at Eastern Visayas dahil sa inter-tropocal convergence zone (ITCZ). 1/2 https://t.co/JPCNwe45dU",1
,"RT @sciencekonek: Matapos ang ilang ""muntik na"" ay tuluyan nang nagamit ang unang pangalan ng bagyo sa lokal na listahan ng PAGASA. Ngayo…",1
"Quezon City, Philippines","Matapos ang ilang ""muntik na"" ay tuluyan nang nagamit ang unang pangalan ng bagyo sa lokal na listahan ng PAGASA. Ngayong gabi ay naging ganap na bagyo ang binabantayang Low Pressure Area (LPA) malapit sa Extreme Northern Luzon at pinangalanang #AuringPH. Narito naman ang https://t.co/NdGK1l0YXe",1
"karnal, India","Low pressure area sa bahagi ng Northern Luzon, isa nang ganap na bagyo at tinawag na Bagyong Auring #SuperBalitaSaGabi",1
,"@ikissmorning LPA sa Northern Luzon, malaki ang tyansa na maging bagyo sa loob ng 24 oras — PAGASA #TomorrowsNewsTonight",1
"Hyderabad, India",RT @aybaaanx: LPA X HABAGAT Patuloy na nagpapaulan ang #Habagat sa malaking bahagi ng #Luzon na pinalalakas ng #LowPressureArea sa may ban…,1
,"LPA sa hilagang Luzon, mataas ang tyansa na maging unang bagyo sa bansa ngayong taon #Balansyado",1
,"LPA sa Northern Luzon, lumaki ang tiyansa na maging bagyo #Breaktime",1
karachi,LPA X HABAGAT Patuloy na nagpapaulan ang #Habagat sa malaking bahagi ng #Luzon na pinalalakas ng #LowPressureArea sa may bandang Taiwan na nasa loob ng PAR. Posibleng maging bagyo ang LPA at tatawaging #AuringPH. #WeatherAlert #94W https://t.co/z4BNYPddiL,1
"Jaipur, India",Patuloy na binabantayan ng PAGASA ang low pressure area (LPA) sa may Northern Luzon. Tumaas ang tsansa niyan na maging bagyo. PANOORIN ang ulat: https://t.co/Pceh7QgDBq,1
India,"@ReyTSibayan @ikissmorning LPA sa silangang luzon bantay-sarado ng PAGASA, may ‘medium chance’ na maging bagyo #TomorrowsNewsTonight",1
"Patriot House, ITO, Delhi-2","RT @sciencekonek: 𝗕𝗔𝗚𝗢𝗡𝗚 𝗟𝗣𝗔 𝗦𝗔 𝗦𝗜𝗟𝗔𝗡𝗚𝗔𝗡 𝗡𝗚 𝗟𝗨𝗭𝗢𝗡, 𝗣𝗢𝗦𝗜𝗕𝗟𝗘𝗡𝗚 𝗠𝗔𝗚𝗜𝗡𝗚 𝗕𝗔𝗚𝗬𝗢 Ang panibagong nabuong Low Pressure Area (#LPA) sa silangan ng C…",1
India,"𝗕𝗔𝗚𝗢𝗡𝗚 𝗟𝗣𝗔 𝗦𝗔 𝗦𝗜𝗟𝗔𝗡𝗚𝗔𝗡 𝗡𝗚 𝗟𝗨𝗭𝗢𝗡, 𝗣𝗢𝗦𝗜𝗕𝗟𝗘𝗡𝗚 𝗠𝗔𝗚𝗜𝗡𝗚 𝗕𝗔𝗚𝗬𝗢 Ang panibagong nabuong Low Pressure Area (#LPA) sa silangan ng Central Luzon ay posibleng maging bagyo habang kumikilos pahilaga. Ganunpaman, mas #habagat ang patuloy na https://t.co/kJZVdog9P3",1
"New Delhi, India","RT @arielrojasPH: Weather Forecast for June 11, 2025, Wednesday Papalayo ang bagyo at walang epekto sa bansa. Maulan sa Luzon halos buong…",1
India,"Weather Forecast for June 11, 2025, Wednesday Papalayo ang bagyo at walang epekto sa bansa. Maulan sa Luzon halos buong araw dahil sa Habagat. Uulan naman sa tanghali sa Panay at sa hapon at gabi sa Eastern Visayas at eastern Mindanao. ⛈️ JABYU☔️ https://t.co/bBmbqt2cHp",1
@ Earth,BAGYO X HABAGAT Bagyo sa West Philippine Sea sa labas ng PAR pinalalakas ang SW monsoon (Habagat) na magdadala ng ulan sa western section ng Luzon. #WeatherAlert #StormAlert #Invest92W #92W https://t.co/fFClX2RiKc,1
Hyderabad,"Binabantayang Low Pressure Area sa kanluran ng Hilagang Luzon o sa labas ng PAR, isa nang bagyo!",1
"New Delhi, India","RT @arielrojasPH: Weather Forecast for June 10, 2025, Tuesday Posibleng maging bagyo na ang LPA sa West Philippine Sea na patuloy na magpa…",1
,"Weather Forecast for June 10, 2025, Tuesday Posibleng maging bagyo na ang LPA sa West Philippine Sea na patuloy na magpapalakas sa Habagat. Maulan sa Central at Southern Luzon at Panay. ⛈️⛈️⛈️ JABYU☔️ at ingat sa baha at landslides. https://t.co/gqZWlLPjsk",1
sa heart ni aiah,"Malalakas na pag-ulan, asahan sa ilang bahagi ng Luzon dahil sa pinalakas na LPA at habagat —PAGASA https://t.co/1rKGXQGG3A",1
,"Binabantayang Low Pressure Area sa kanluran ng Hilagang Luzon, inaasahang magiging bagyo ngayong linggo at tatawaging bagyong #AuringPH; Hanging habagat, umiiral sa nalalabing lugar sa Katimugang Luzon, Visayas at Mindanao, ayon sa @dost_pagasa",1
Taiwan,"RT @weatherphilipp1: WARNING(June 8,Sunday 6:27PM):Merong possibilidad na magtaas ng Wind Signal sa Metro Manila at malaking bahagi ng Luzo…",1
Republic of the Philippines,Jara ka alimuot plus way aircon sa apartment 😭,1
CHRESTINAAAAA,Ka alimuot jud diris Kab uy,1
,RT @ctrlbreaker: Alimuot lagi https://t.co/upfSu7uvni,1
"Clark, Pampanga","im pink but idk, the current administration is starting to grow on me pero tangina bat maalinsangan sa pilipinas??? 😡",1
,Ang alinsangan jusko,1
63,"Napaka alinsangan na nga ng gabi, wala pang kuryente. 😫 Mamalantsa pa ako ng damit.🫠",1
,@arielrojasPH Sobra nga po ng alinsangan…magiging mainiit po ba next week?😜😜😜,1
under a rock • he/him • 21,@winterluvrs TOTOO TAS ANG ALINSANGAN PA,1
,ang alinsangan ng weather sa cavite. lmk kung gan'to rin sainyo.,1
"Quezon City, Philippines","TINGNAN | Sa kabila ng patuloy na nararnasang pag ambon dito sa Manila North Cemetery, partikular dito sa Mausoléo de los Veterános de la Revolucion, ay patuloy pa rin ang ginagawang pag hahanda ng lokal na pamahalaan ng Maynila. | @lorenztanjoco #RP1News #RadyoPilipinas https://t.co/ShYt7bURfy",1
,"isinama ko dalawang kapatid ko na nagbakasyon sa Manila that time, tapos 'yong weather nun is ambon ambon pa lang. not until pagpatak ng 6pm, medyo lumakas na siya. so inaya ko na silang umuwi kasi baka mahirapan kami lumabas sa sobrang dami ng tao.",1
,Nagpaparamdam nanaman ambon dito. Naiyak nanaman ulit si Mayon. SB19 LIVE IN BICOL @SB19Official #SB19 #BicolGoesLocoWithSB19,1
switzerland,DIBA. kala ko nga babagyo. gulat ako ambon ambon lang si accla next day. SB19 LIVE IN BICOL @SB19Official #SB19 #BicolGoesLocoWithSB19 https://t.co/yaGpQgPM34,1
06 | her/she,sabi na eh kahit onting ambon lang yun 🤏,1
Namek,natigil agad ung ambon weather😔,1
"Albuera, Eastern Visayas","@foreversisiw21 @EdenPelaez24 TANGA! KAHIT TRILION YAN WALANG MAKAKAPIGIL SA BAHA. YUBG 51B AY FLOOD CONTROL PROJECTS HINDI FLOOD PREVENTION. KUNG DATI AABUTIN NG ILANG ARAW BAGO HUMUOA ANG BAHA SA DAVAO, NGAYON PAGTILA NG ULAN WALA NA RIN ANG BAHA... GANYAN ANG FLOOD CONTR WAG BOBO!",1
,I H8 MANILA AIR TALAGA. ANG DAMI KO NA NAMANG BUMPS SA MUKHA TAPOS LAPOT NA LAPOT NA NAMAN LAGI PARANG YUNG MUKHA KO ARAW-ARAW DUMADAAN SA PAGSUBOK OO YUNG MUKHA KO TALAGA KAINIS nakakadown to ah wth kase ang life decisions eh,1
Republic of the Philippines,"Villamil: Starting yesterday, nagsimula ang malalakas na pag-ulan na dulot ng ITCZ [sa Mindanao at Eastern Visayas]. Inaasahan natin na ganito muli ang panahon ngayong araw over Mindanao and Eastern Visayas, pero starting tomorrow, mababawasan na ang mga pag-ulang ito.",1
"02 / psych major Ψ
 ⌜ jakehoon",gusto ko mag pa tan pero kakaiba naman 'tong araw sa metro manila 😭 beach tan sana huhu,1
"Manila, Philippines","@dost_pagasa Badrina: Easterlies naman ang magdadala ng maulap na kalangitan na may mga pag-ulan sa Batanes at Cagayan province. Sa Metro Manila at nalalabing bahagi ng bansa, asahan ang medyo mainit na panahon ngayong araw bagaman posible pa rin ang thunderstorms sa hapon hanggang gabi.",1
P.A.R.,"Weather Forecast for June 13, 2025, Friday Posibleng makalabas na ng PAR ang LPA ngayong gabi. Magiging maaraw at mainit na sa malaking bahagi ng bansa pero maulan sa hapon at gabi sa Mindanao. JABYU☔️ https://t.co/EUAhvSws3R",1
Philippines,"RT @weatherphilipp1: GOOD NEWS(June 12,Thurs.5:23PM):Bukas (Friday) possible ang generally improved weather sa Metro Manila at ilang parte…",1
🇵🇭,RT @sciencekonek: 𝗦𝗜𝗚𝗡𝗜𝗙𝗜𝗖𝗔𝗡𝗧 𝗥𝗔𝗜𝗡𝗙𝗔𝗟𝗟 𝗧𝗛𝗥𝗘𝗔𝗧 𝗧𝗢𝗗𝗔𝗬⚠️ For 12 June 2025 (Thursday) May banta ng malalakas na pag-ulan sa ilang bahagi ng L…,1
,"GOOD NEWS(June 12,Thurs.5:23PM):Bukas (Friday) possible ang generally improved weather sa Metro Manila at ilang parte ng West Sections ng Luzon, possible mas magpakita na ang araw dahil sa possibleng pag hina ng #Habagat .Sa parts ng extereme northern luzon possible maulan. https://t.co/oQBsKLS3vu",1
Philippines,Isinailalim sa yellow rainfall warning ang ilang bahagi ng Central Luzon ngayong araw ng Huwebes. PANOORIN: https://t.co/6CHxOhkrbH,1
"Manila, Philippines","𝗦𝗜𝗚𝗡𝗜𝗙𝗜𝗖𝗔𝗡𝗧 𝗥𝗔𝗜𝗡𝗙𝗔𝗟𝗟 𝗧𝗛𝗥𝗘𝗔𝗧 𝗧𝗢𝗗𝗔𝗬⚠️ For 12 June 2025 (Thursday) May banta ng malalakas na pag-ulan sa ilang bahagi ng Luzon dulot ng #habagat ngayong Araw ng #Kalayaan2025, ayon sa pinakahuling abiso ng PAGASA. 🟡 𝗞𝗔𝗧𝗔𝗠𝗧𝗔𝗠𝗔𝗡 https://t.co/D6utnnhZD2",1
Intramuros,"RT @arielrojasPH: Weather Forecast for June 11, 2025, Wednesday Papalayo ang bagyo at walang epekto sa bansa. Maulan sa Luzon halos buong…",1
"Quezon City, Philippines","WEATHER UPDATE | Malalakas na pag-ulan bunsod ng Southwest Monsoon, asahan ngayong araw (June 11, 2025) sa mga lugar ng Zambales, Bataan, Occidental Mindoro (100-200 mm), Metro Manila, Pangasinan, Cavite, Batangas, Palawan, Camarines Sur, Catanduanes, Albay, Sorsogon, Antique, https://t.co/R25sLwaEYo",1
P.A.R.,"Weather Forecast for June 11, 2025, Wednesday Papalayo ang bagyo at walang epekto sa bansa. Maulan sa Luzon halos buong araw dahil sa Habagat. Uulan naman sa tanghali sa Panay at sa hapon at gabi sa Eastern Visayas at eastern Mindanao. ⛈️ JABYU☔️ https://t.co/bBmbqt2cHp",1
peaks & valley of ong's chest,RT @sciencekonek: TIGNAN: Kumakapal at lumalawak na ang mga kaulapan ng #habagat (southwest monsoon) sa kanluran ng Luzon at Visayas na pos…,1
"Manila, Philippines",TIGNAN: Kumakapal at lumalawak na ang mga kaulapan ng #habagat (southwest monsoon) sa kanluran ng Luzon at Visayas na posibleng magdala ng mga malalakas na pag-ulan sa mga susunod na oras at araw. Karagdagang impormasyon: https://t.co/FGC7rpk1yK https://t.co/eRSV4euwK3,1
Republic of the Philippines,"Tinatayang 13,000 indibidwal ang naapektuhan ng habagat sa Region III (Central Luzon) at Region IX (Zamboanga Peninsula) matapos makaranas ng matinding pag-ulan at flashfloods dulot ng habagat nitong nakalipas na mga araw. https://t.co/kbg1QDZX3V",1
,"RT @weatherphilipp1: WARNING(June 8,Sunday 6:27PM):Merong possibilidad na magtaas ng Wind Signal sa Metro Manila at malaking bahagi ng Luzo…",1
"Quezon City, Philippines","WEATHER UPDATE | Ilang lugar sa Luzon, posibleng ulanin ngayong araw dahil sa LPA at Habagat. Sa inilabas na weather advisory ng PAGASA, kabilang sa posibleng makaranas ng pag-ulan ngayong araw ang Pangasinan, Zambales, Bataan, Cavite, Batangas, Occidental Mindoro, Palawan, at https://t.co/64kiNq2w9Y",1
,@Jayjay_011297 Dito sa Cebu rin grabe ulan ilang araw na pero kahapon apaka init hahaha.,1
,"Umabot sa mahigit 300 na indibidwal ang binawian ng buhay habang nasa 97,000 ektarya ng lupaing pang-agrikultura ang nasira dahil sa ashfall ng bulkan. [2/2]",1
,Kalami sa tindero sa tindahan. Hayop! Ngano man gud maghukas na bugnaw man unta ang panahon🙄,1
,"Lahi rjud sya sa normal na hangin ug sa bugnaw na hangin, impossible kaau tu ay kay naa kos gawas",1
,Mao nang reason ngnong d kaau ko gsto ug bugnaw sakong palibot,1
,"argh, na trauma jd ko anang hangin na bugnaw ba. Kanang hangin na mo hug saimo tapos bugnaw kaau.",1
"Cagayan De Oro City, Northern",Bugnaw nga panahon. Lami magpa init. #cdo #alter,1
Cagayan de oro,Ka bugnaw sa panahon. Gana kaa icuddle. 🥰 #altercdo #popperscdo #poppers,1
,mia maligo ug springg lage kanang bugnaw kaayo,1
,Ligo tag somewhere bugnaw haha https://t.co/IqMDCp72ti,1
,@xitsmejohnx Bugnaw man kaha didto? G! Hahaha,1
"Northern Mindanao, Republic of",@Satoshi26340142 Ali balay ki bugnaw,1
Cagayan De Oro City,manakit jd dyon akong tiil ug ting bugnaw or matutok sa hangin,1
"Davao City, Davao Region",Hays! Grabe ka bugnaw. Lami naay ka cuddle best if naay mainit na lawas. #tigang #alterdavao,1
,kinsay taga dvo? tara bugnaw kaayo,1
21 kms away from the City 🍃,maypag matug ug sayu sa mabugnaw nga kagabhion . .. #cebualter #altercebu https://t.co/da1mcIqLcZ,1
stayville,so bored gaina nya bugnaw kaayong panahon das y i decided nga mag cook champorado AAAAA,1
"England, United Kingdom","Untag ingani ra ag weather nga permi bugnaw, sig ulan, cloudy, and cold breeze.",1
,RT @Bytewolf1Quip: Tara na magpa init ta kay bugnaw ang panahon 💦 #AlterCebu #cebualter https://t.co/5SQXAqiEo2,1
"Davao City, Davao Region",murag lami mag iced white mocha sa mabugnaw nga panahon karon. 😋,1
,Bugnaw na just,1
Cagayan De Oro City,Bugnaw nga tempo,1
,@whosp_btw Lami kaayu. Lasbi nag bugnaw ang panahon,1
Republic of the Philippines,♥️ Sakto sa panahon na bugnaw. #AlterCebu #philippines2025 https://t.co/PZ6F3iZsm5,1
"Lapu-Lapu City, Central Visayas",@Zandyeah Ganahan ko kay bugnaw ang panahon. Pero lisod lang ilakaw lakaw haha,1
"Cagayan De Oro City, Northern",@angelasay31 Mas lami ang sa bugnaw hahaha,1
,Pa bugnaw ta #smgensan,1
"Cagayan De Oro City, Northern",karon pajud free kay holiday😆 aha man ta? bugnaw panahon oh HAHAHA #altercdo,1
"Northern Mindanao, Republic of",In heat tawon! Panabangi. 🥵 Pastilan ning bugnaw nga panahon. #alteriligan #altercdo #alterpagadian #altercebu #alterbutuan #alterozamiz #alterbagets #alterphilippines https://t.co/JL07DMvm8X,1
,RT @MikeGrandeee: Pa bugnaw ragud sa abreeza https://t.co/yA2ydQQ6Ej,1
Shenzhen Sorting Center,ka bugnaw ba ani https://t.co/6dLSoN61bx,1
,Lisud iginhawa if bugnaw ang panahon 😅,1
,bugnaw ang panahon pero akong ulo init 😮‍💨,1
"Northern Mindanao, Republic of",Pagkalami sa bugnaw'ng hangin! Makamingaw sa pamati naay kagakos or mugakos. Haaays. PS: sure jud ning naay mga tulos manga usik rong gabihuna. 😂😂😂 #alteriligan #altercdo #altercebu #alterpagadian #alterbutuan #alterozamiz #altermanila,1
paradize,kalami sa uwan bugnaw najud kaayo ang palibot abi kog modaot nakus kalimoot,1
,"RT @prettyoten1: nindut kaayo ang panahon kay bugnaw hangin, kacuddle nlng kuwang. permi nlng amo iro ako kacuddle ani hahaha #AlterCebu",1
,@eXeL5686 nas bugnaw dhas lugar nimo.. pero padulongay ba summer dha! hehehe,1
,@yourboi_yuki Bugnaw,1
,RT @dm_jaccck: bugnaw pre https://t.co/CypOOpY5Kq,1
Central Visayas,Late night cardio kay bugnaw ang panahon. https://t.co/YqFT8pAhqG,1
,Bugnaw #AlterCDO,1
,Manglaba sa ko kay wala nakoy brief bugnaw pa naman ang panahon wa rabay mu ugay ani haha #altercebu #altermandaue,1
,KALAMI E STROLL NING IN ANI KA BUGNAW,1
North West DVO,@lucipearls_16 Wala po akong pinipiling oras ka bugnaw diria sis 😩,1
Panabo Davao,"Tselect napd ta ron, yays ka bugnaw🤤",1
,📍 cdo Stranded kay baha! Pa bugnaw ta na,1
Republic of the Philippines,Uwan nasad... 😁 Lami itulog Kay bugnaw. Maka tapol. Cuddle nalang kuwang ani #AlterCebu #alterphilippines,1
Caraga Region 13,@BigBoyBXU Agoy.. Take meds po. Or just simply relax somewhere na bugnaw..,1
Thailand,"nag jacket gani ta kay bugnaw keey ang room, nag brownout man nuon",1
,Graving ka init na man.. asa ta pwdi magpa bugnaw #CDO https://t.co/BzBVZ4lzQF,1
,piste ka bugnaw,1
Leyte,Bugnaw pas iyang simud #altertabunok #altertalisay #alterCebuMandaueLapuLapu https://t.co/U9mBE9ohtp,1
,"bugnaw man unta pero rag walay hangin, bosettt",1
Sugbo,Bugnaw ang panahon....💦 https://t.co/YCGNDxYTV9,1
,Di jud pasulti. Imbis bugnaw ang panahon bapz. Pwerti mang inita,1
"Beverly Hills, CA",@icedcoppei a bit chilly hahahaha hbu? dinner ka na?,1
aff. with @BoysTownRPW | 3N,"@LUXENLSH95 Medyo chilly yung hangin no? Teka, naka abot ka ba sa yacht?",1
"Manila, Philippines","Fausto: As usual, ang agriculture talaga siya ang pinaka-kawawa sa pag-unlad ng ating ekonomiya. Noong nakaraang taon, negative 1.6 percent ang ating growth siguro dahil na rin sa El Niño at La Niña, climate change pero ngayong taon tingin ko mahihigitan natin ang produksyon",1
Lupang Hinirang,"RT @YACAPhilippines: Facing intensifying typhoons, rising seas, extreme heat, and devastated fishing communities—like those in Luzon—millio…",1
Philippines,"Facing intensifying typhoons, rising seas, extreme heat, and devastated fishing communities—like those in Luzon—millions of Filipinos depend on robust climate adaptation and disaster mitigation funds to build evacuation centers, strengthen infrastructure, and secure livelihoods. https://t.co/S9OpGNWzys",1
,"#Philippines #flood #CagayanDeOro #Camaman_an #disaster #climate #destruction #anomaly #climatecrisis #weather #climatechange 🇵🇭 Widespread Flooding in Camaman-an, Cagayan de Oro, Philippines (June 10, 2025) #riyadh #LoveIslandUSA #Vecinos11J #LoveIsland #RIIZE #에이티즈 https://t.co/YbwxOZuqtE",1
Philippines,"Meanwhile, partly cloudy to cloudy skies with isolated rain showers or thunderstorms will be experienced in Metro Manila and the rest of Luzon due to localized thunderstorms. (4/4)",1
Philippines,"WEATHER UPDATE: The easterlies, which brings cloudy skies with scattered rains and thunderstorms, will affect Visayas, Bicol Region, and Quezon on Monday, June 16, according to PAGASA. (1/4) https://t.co/kcNi9EZSmM",1
Philippines,"@petite_melody Thanks! Have a nice afternoon too! It's currently cloudy here in the Philippines, but there's no rain yet ;w;",1
Philippines,"Meanwhile, the easterlies will be experienced over Metro Manila and the rest of the country, bringing partly cloudy to cloudy skies with isolated rainshowers or thunderstorms. (2/2)",1
,"RT @cebudailynews: After several days of cloudy skies and downpours, Cebu may finally welcome sunnier weather in the second half of June. #…",1
Makati City,"ITCZ brings scattered rains to Mindanao, Eastern Visayas; Easterlies affect rest of PH The Intertropical Convergence Zone (ITCZ) is bringing cloudy skies with scattered rain and thunderstorms over Mindanao and Eastern Visayas, with possible flash floods or landslides due to https://t.co/HPoAAi7Axs",1
Philippines,"The easterlies and the Intertropical Convergence Zone (ITCZ) will influence the country's weather conditions in the next 24 hours, PAGASA said in its early Saturday morning forecast. https://t.co/88gWJYPIdH",1
Philippines,"The trough of the low pressure area (LPA) would bring cloudy skies with scattered rains over Batanes in the northernmost part of the Philippines, and the southwest monsoon (habagat) and the easterlies will bring scattered rains over the western section of Northern Luzon and the https://t.co/mHe5ItSwl9",1
Philippines,"Due to easterlies, cloudy skies with scattered rains and thunderstorms will prevail in Surigao del Sur and Davao Oriental. (3/4)",1
"Davao, Philippines","current weather in Davao: partly cloudy, 24°C, 92% humidity, wind 5kmh, pressure 1012mb",1
Philippines,"Due to habagat, cloudy skies with scattered rains and thunderstorms will prevail in Metro Manila, CALABARZON, Bicol Region, Caraga, Davao Region, Pangasinan, and the rest of Visayas, Central Luzon, and MIMAROPA. (2/4)",1
Philippines,The Philippines will experience cloudy and rainy skies on Independence Day 2025. Read more: https://t.co/UkbFGO3nwb,1
,"RT @cebudailynews: The LPA will bring cloudy skies with scattered rain and thunderstorms to the Bicol, Central Visayas, and Eastern Visayas…",1
"Davao Region, Republic of the","RT @gmainweather: The Habagat or southwest monsoon will bring cloudy skies with rain showers over Central and Southern Luzon, Visayas, and…",1
Philippines,"Due to habagat, cloudy skies with scattered rains and thunderstorms will prevail in Metro Manila, Visayas, CALABARZON, Bicol Region, the rest of Central Luzon, and MIMAROPA. (2/3)",1
Philippines,"The Habagat or southwest monsoon will bring cloudy skies with rain showers over Central and Southern Luzon, Visayas, and Mindanao on Tuesday, PAGASA reported. Read more: https://t.co/RlTpIkSVwh",1
Philippines,"Due to habagat, cloudy skies with scattered rains and thunderstorms will prevail in Metro Manila, Bicol Region, and the rest of Visayas, Central Luzon, MIMAROPA, and CALABARZON. (3/4)",1
,"Tangina talaga e no, pag may pasok cloudy af, naulan. Pag off puta wala man lang kaulap ulap, napakainit yawaaaa",1
